ArtistName,album,album_id,artist_id,track,track_id
Feid,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,2LRoIwlKmHjgvigdNGBHNo,LUNA,7bywjHOc0wSjGGbj04XbVi
ATL Jacob,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,7jAs1uPnpfNmT6e5qtEPxq,LUNA,7bywjHOc0wSjGGbj04XbVi
Arctic Monkeys,AM,78bpIziExqiI9qztvNFlQu,7Ln80lUS6He07XvHI8qqHH,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n
Myles Smith,Stargazing,3VNxRarx9HUI5w7DHv0TBj,3bO19AOone0ubCsfDXDtYt,Stargazing,3Vr3zh0r7ALn8VLqCiRR10
ILLIT,SUPER REAL ME,6irebIc6UO8fN0jl4UlzBS,36cgvBn0aadzOijnjjwqMN,Magnetic,1aKvZDoLGkNMxoRYgkckZG
Benson Boone,Fireworks & Rollerblades,168CdR21lfn0TTyw1Pkdcm,22wbnEMDvgVIAGdFeek6ET,Slow It Down,51eSHglvG1RJXtL3qI5trr
Noah Kahan,Stick Season,50ZenUP4O2Q5eCy2NRNvuz,2RQXRUsr4IW1f3mKyKsy4B,Stick Season,0mflMxspEfB0VbI1kyLiAv
Mitski,The Land Is Inhospitable and So Are We,2Cn1d2KgbkAqbZCJ1RzdkA,2uYWxilOVlUdk4oV9DvwqK,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3
The Neighbourhood,I Love You.,4xkM0BwLM9H2IUcbYzpcBI,77SW9BnxLY8rJ0RciFqkHh,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6
Taylor Swift,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02,Guilty as Sin?,0W0iAC1VGlB82PI6elxFYf
Lord Huron,Strange Trails,4sD1qg4jwTZR4mvR4Iflk5,6ltzsmQQbmdoHHbLZ4ZN25,The Night We Met,3hRV0jL3vUpRrcy398teAU
Luis R Conriquez,Si No Quieres No,6WkOBnYkj6y5iSr14uhUZF,0pePYDrJGk8gqMRbXrLJC8,Si No Quieres No,1C84d9abZVKWHT2YYpoean
Neton Vega,Si No Quieres No,6WkOBnYkj6y5iSr14uhUZF,6pV5zH2LzjOUHaAvENdMMa,Si No Quieres No,1C84d9abZVKWHT2YYpoean
Taylor Swift,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02,Who’s Afraid of Little Old Me?,36t6frENUtCYKuZus6aYDO
