,ArtistName,artist_id,album,album_id,track,track_id
0,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,MILLION DOLLAR BABY,52TwRwdTUMtkpglbOE5IRz,MILLION DOLLAR BABY,7fzHQizxTqy8wTXwlrgPQQ
1,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Espresso,5quMTd5zeI9yW5UDua8wS4,Espresso,2qSkIjg1o9h3YT9RAgYN75
2,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Not Like Us,5JjnoGJyOxfSZUZtk2rRwZ,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3
3,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,LUNCH,629DixmZGHc7ILtEntuiWE
4,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,CHIHIRO,7BRD7x5pt8Lqa1eGYC4dzj
5,Post Malone,246dkjvS1zLTtiykXe5h60,I Had Some Help,1woYXxyyxTQJ0E0AhZE6mj,I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP
6,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,I Had Some Help,1woYXxyyxTQJ0E0AhZE6mj,I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP
7,FloyyMenor,7CvTknweLr9feJtRGrpDBy,Gata Only,5tSQtQGkrCJx3hoQxmLgfM,Gata Only,6XjDF6nds4DE2BBbagZol6
8,Cris Mj,1Yj5Xey7kTwvZla8sqdsdE,Gata Only,5tSQtQGkrCJx3hoQxmLgfM,Gata Only,6XjDF6nds4DE2BBbagZol6
9,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB
10,Hozier,2FXC3k01G6Gw61bmprjgqS,Unreal Unearth: Unheard,3P4SQqMMgjqfqVxgLwtYRk,Too Sweet,5Z0UnEtpLDQyYlWwgi8m9C
11,Artemas,0PCCGZ0wGLizHt2KZ7hhA2,i like the way you kiss me,5HIWDdg3g9CTOtnevKDl1z,i like the way you kiss me,2GxrNKugF82CnoRFbQfzPf
12,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,A Bar Song (Tipsy),6egBeCLeGITzGSo5VyRjwZ,A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf
13,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Fireworks & Rollerblades,168CdR21lfn0TTyw1Pkdcm,Beautiful Things,3xkHsmpQCBMytMJNiDf3Ii
14,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m
15,Post Malone,246dkjvS1zLTtiykXe5h60,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m
16,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,eternal sunshine,5EYKrEDnKhhcNxGedaRQeK,we can't be friends (wait for your love),51ZQ1vr10ffzbwIjDCwqm4
17,Djo,5p9HO3XC5P3BLxJs5Mtrhm,DECIDE,4JDXBZdRPId4devseaAOKH,End of Beginning,3qhlB30KknSejmIvZZLjOD
18,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,BLUE,2prqm9sPLj10B4Wg0wE5x9
19,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,WILDFLOWER,3QaPy1KgI7nu9FJEQUgn6h
20,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,SKINNY,1CsMKhwEmNnmvHUuO5nryA
21,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,L’AMOUR DE MA VIE,6fPan2saHdFaIHuTSatORv
22,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,THE GREATEST,6TGd66r0nlPaYm3KIoI7ET
23,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,I've Tried Everything But Therapy (Part 1),7nacKlk586eLRBSIsrk9DB,Lose Control,17phhZDn6oGtzMe56NuWvj
24,Rvssian,1fctva4kpRbg2k3v7kwRuS,Santa,3uzutRS5qX4ng5Skjh5S6W,Santa,6a9Z1jUms915w4O7N1PxjY
25,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Santa,3uzutRS5qX4ng5Skjh5S6W,Santa,6a9Z1jUms915w4O7N1PxjY
26,Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq,Santa,3uzutRS5qX4ng5Skjh5S6W,Santa,6a9Z1jUms915w4O7N1PxjY
27,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,I Can Do It With a Broken Heart,4q5YezDOIPcoLr8R81x9qy
28,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,The Idol Episode 4 (Music from the HBO Original Series),7tzVd1fwkxsorytCBjEJkU,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW
29,JENNIE,250b0Wlc5Vk0CoUsaCY84M,The Idol Episode 4 (Music from the HBO Original Series),7tzVd1fwkxsorytCBjEJkU,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW
30,Lily-Rose Depp,1pBLC0qVRTB5zVMuteQ9jJ,The Idol Episode 4 (Music from the HBO Original Series),7tzVd1fwkxsorytCBjEJkU,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW
31,Future,1RyvyyTE3xzB2ZywiAwp0i,WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn,Like That,2tudvzsrR56uom6smgOcSf
32,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn,Like That,2tudvzsrR56uom6smgOcSf
33,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn,Like That,2tudvzsrR56uom6smgOcSf
34,SZA,7tYKF4w9nC0nq9CsPZTHyP,Saturn,1fmBMCSSkSlvxyoy1vut2k,Saturn,1bjeWoagtHmUKputLVyDxQ
35,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,THE DINER,1LLUoftvmTjVNBHZoQyveF
36,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,euphoria,32bR4LcEc1PvJEhaKoo4ZN,euphoria,77DRzu7ERs0TX3roZcre7Q
37,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr
38,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,BITTERSUITE,7DpUoxGSdlDHfqCYj0otzU
39,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,As It Was,4Dvkj6JhhA12EX05fT7y2e
40,Mark Ambor,11p2E654TTU8e0nZWBR4AL,Belong Together,3PlCMwyq6nuQYtoYproV1o,Belong Together,5uQ7de4EWjb3rkcFxyEOpu
41,Dasha,7Ez6lTtSMjMf2YSYpukP1I,What Happens Now?,40HsqPqeSR9Xe3IyAJWr6e,Austin,2uqYupMHANxnwgeiXTZXzd
42,Natanael Cano,0elWFr7TW8piilVRYJUe4P,Madonna,0QZVRL2HC24voXfxWmpHvd,Madonna,5LhI8m7n8xlQmNe3b7Rwis
43,Oscar Maydon,3l9G1G9MxH6DaRhwLklaf5,Madonna,0QZVRL2HC24voXfxWmpHvd,Madonna,5LhI8m7n8xlQmNe3b7Rwis
44,Tate McRae,45dkTj5sMRSjrmBSBeiHym,greedy,3UOV8XvCwMKaATRNXrYCjN,greedy,3rUGC1vUpkDG9CZFHMur1t
45,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,"Good Luck, Babe!",1WAjjRMfZjEXtB0lQrAw6Q,"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu
46,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,Down Bad,2F3N9tdombb64aW6VtZOdo
47,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA
